file;target;Time;Otype;Sdate;Stime;Stype;Qs;Vmean;VmeanC;Vmax;tVmax;Bmax;tBmax;VmBm;Bzmin;Abzmax;BzmtoBm;Ktmax;tKTmax;Ktmin;tKTmin;Bemax;tBemax;Bemin;tBemin;Rbulk;B2Sum;Magn;MagnM;MagnC;Tmin;TminM;Dmin;tDmin;DminM;tDminM;Dmax;tDmax;AftoB;tBef;tAft;tFrom;Kpmax;Apmax;Dstmin;tDstmin;Xmagn;Hlat;Alat;Hlon;Sdur;Axym;Txymax;Axm;Aym;Azrange;Pxym;Axdm;Aydm;Azdm;Axydm;Pxydm;D01;D02;AD02;Axb;Ayb;Azb;Axyb;Pxyb;Ax0;Ay0;Az0;Axy0;Pxy0;Ax1;Ay1;Az1;Axy1;Pxy1;dx1b;dy1b;dz1b;dxy1b;dA11b;Adz1b;dPxy1b;Pdxy1b;DP1b;CMEwidth;Ind;GLE;SSN
199612021001;2;0,42;1;35395;0,87;-1;3;312;311;429;34;17,3;8;3,71;-8,2;8,2;0,47;3,87;5;0,68;8;999,99;15;0,36;8;-1;0;0,8;1,7;0,8;15;15;-0,21;9;-0,25;9;0,15;16;0,05;88;42;42;4;27;-19;14;0;-16;16;90;488;0,65;-3;0,49;-0,42;3,8;319,4;0,27;0,14;0,27;0,3;27,4;0,02;-0,01;0,01;0,16;-0,21;0,01;0,26;307,3;0,07;0,03;-0,17;0,08;23,2;0,1;-0,13;-0,18;0,16;307,6;-0,06;0,08;-0,19;0,1;0,21;0,19;-179,3;126,9;49,8;78;0;0;13
199701100104;2;0,04;1;35436;0,62;2;3;505;503;468;4;15,2;6;3,56;-14,9;14,9;0,98;2,17;1;0,29;17;17,91;-5;0,11;4;4,59;2,34;1,5;2,5;1,5;2;7;-0,27;0;-0,3;2;0,3;-2;0,1;68,1;24,2;24,2;6;80;-78;7;0;-18;18;6;60;1,58;12;0,89;1,31;1,41;55,8;0,84;0,87;0,96;1,21;46;-0,2;-0,42;0,42;0,74;0,66;0,93;0,99;41,7;0,84;0,87;0,96;1,21;46;0,87;0,99;1,13;1,32;48,7;0,13;0,33;0,2;0,35;0,41;0,2;-19,8;68,5;5,8;360;77;0;12
199705150159;2;0,08;1;35562;0,2;1;4;600;601;524;32;25,3;10;6,63;-24,3;24,3;0,96;9,34;7;0,3;13;4,71;-1;0,04;11;27,62;12,41;1,7;4,3;1,7;3;13;-0,63;7;-0,59;3;1,07;5;0,07;113;50;50;6,67;111;-115;10;0;21;21;8;44;1,6;2;1,27;0,97;2,07;37,4;-0,34;0,85;-0,79;0,92;111,8;-0,57;-0,92;0,92;0,22;0,42;0,2;0,47;62,4;0,33;0,24;0,89;0,41;36;0,73;0,81;0,58;1,09;48;0,51;0,39;0,38;0,64;0,75;0,38;10,6;37,4;14;360;77;0;15
199705260957;2;0,41;1;35571;0,84;1;5;378;378;358;8;11;8;1,97;-10,5;10,5;0,96;6,44;47;0,8;18;11,46;47;0,42;23;18,32;2,71;1,1;2,3;1,1;12;16;-0,27;8;-0,31;8;0,26;18;0,1;19,4;82,1;19,4;6;80;-73;18;0;5;5;12;24;0,71;40;0,7;-0,14;1,23;348,7;0,23;-0,1;-0,05;0,25;336,5;-0,15;0,1;0,1;0,5;0,22;-0,1;0,55;23,7;0,26;0,37;-0,61;0,45;54,9;0,24;0,39;-0,57;0,46;58,4;-0,26;0,17;-0,47;0,31;0,56;0,47;-88,4;146,8;49,7;165;77;0;48
199709022239;3;0,94;1;35671;0,96;2;5;434;442;560;31;17,3;22;4,84;-14,8;14,8;0,86;4,59;39;0,73;17;12,66;40;0,27;20;41,33;3,42;1,5;3,3;1,5;19;27;-0,47;8;-0,46;8;0,4;20;0,09;39,7;131,3;39,7;6,33;94;-98;23;0;30;30;-17;58;1,98;13;0,24;1,97;1,23;83,1;-0,11;1,55;0,07;1,55;94,1;-0,06;0,04;0,04;0,14;-0,23;0,14;0,27;301,3;0,12;0,1;0,42;0,16;39,8;-0,08;0,38;0,23;0,39;101,9;-0,22;0,61;0,09;0,65;0,65;0,09;-7,9;109,8;119;360;0;0;69
199710010059;1;0,04;1;0;0;2;5;0;573;490;12;13,8;2;3,38;-8;11,1;0,8;2,05;-8;0,29;20;999,99;2;0,17;45;-1;0;2,2;3,3;2,2;27;27;-0,37;3;-0,57;-1;0,29;34;0,16;87;205;87;7;132;-98;14;-99,9;35;35;-10;15;2,18;11;1,8;1,23;2,25;34,3;0,16;1,48;-0,29;1,49;83,8;-0,33;-0,46;0,46;-0,34;0,54;-0,42;0,64;122,2;-0,91;0,83;-0,09;1,23;137,6;-1,3;0,85;0,52;1,55;146,8;-0,96;0,31;0,94;1,01;1,38;0,94;-15,3;162,1;56,9;360;77;0;36
199710241050;1;0,45;1;35724;0,71;1;4;631;636;559;52;21,4;2;5,98;-15,1;15,1;0,71;5,98;12;1,05;-1;6,4;8;0,23;19;87,84;4;2,9;3;2,9;34;39;-0,55;4;-0,43;4;0,59;1;0,14;26,8;64,2;26,8;5,33;56;-64;15;0;16;16;-7;76;1,12;29;-0,33;1,07;3,91;107,1;0,52;0,4;-0,06;0,66;37,6;0,78;0,8;0,8;0,17;-0,75;-2,58;0,77;282,8;0,23;-0,64;0,61;0,68;289,8;0,49;-0,55;0,28;0,74;311,7;0,32;0,2;2,86;0,38;2,88;2,86;-80,3;32;96,1;360;0;0;14
199711062248;3;0,95;1;35738;0,24;1;5;640;637;468;4;18;22;4,21;-12,5;14,9;0,83;10,02;4;0,48;24;2,96;5;0,1;32;84,56;5,51;2,1;4;2,1;21;21;-0,64;6;-0,62;2;0,26;44;0,12;95,8;59,3;59,3;7;132;-110;5;0;-14;14;33;10;2,06;15;1,59;1,31;3,94;39,5;0,81;0,04;0,43;0,81;2,8;-0,6;-0,78;0,78;-99,9;-99,9;-99,9;141,28;-999,9;-99,9;-99,9;-99,9;141,28;-999,9;0,35;-0,2;-2,45;0,4;330,3;-99,9;-99,9;-99,9;-99,9;-99,9;99,9;105,3;225;57,7;360;77;19;65
199801240529;2;0,23;1;0;0;2;4;0;581;467;50;9,9;6;2,31;-6,2;6,2;0,63;1,86;44;0,61;-1;15,54;-2;0,37;46;9,76;2,02;0,7;1,1;0,7;8;25;-0,28;25;-0,3;21;0,29;43;0,07;82,5;61,5;61,5;4;27;-35;35;-99,9;-57;57;-19;12;1,21;7;-0,23;1,19;5,13;100,9;-0,12;0,53;0,52;0,54;102,8;-0,38;-0,45;0,45;-0,4;0,48;0,73;0,62;129,8;-0,47;0,62;0,75;0,78;127,2;-0,58;0,32;0,43;0,66;151,1;-0,18;-0,16;-0,3;0,24;0,38;0,3;-70,5;221,6;22,8;360;0;0;92
199804071749;2;0,74;1;35887;0,67;2;3;342;345;381;71;15,4;10;2,93;-7,1;7,1;0,46;2,31;16;0,62;-3;7,15;36;0,11;10;62,05;3,38;3,4;3,5;3,4;37;37;-0,32;10;-0,31;24;0,22;14;0,22;78,8;98,2;78,8;3;15;-52;74;0;-23;23;-23;86;1,53;18;-1,49;0,34;1,47;167,1;0,08;0,11;-0,93;0,14;54;-0,11;-0,09;0,09;0,03;-0,58;0,01;0,58;273;0,09;-0,45;-0,08;0,46;281,3;0,07;-0,52;0,1;0,52;277,7;0,04;0,06;0,09;0,07;0,12;0,09;-138,6;56,3;10,9;48;0;0;123
199804231825;1;0,77;1;35905;0,4;1;4;514;513;462;43;15,2;3;3,51;-9,6;11,3;0,74;4,08;4;0,99;31;6,61;-1;0,67;30;69,7;3,53;0,8;2;0,8;29;29;-0,32;14;-0,33;4;0,4;6;0,05;80,4;51,6;51,6;5,67;67;-87;12;0;-43;43;90;100;1,19;14;0,16;1,18;4,68;82,3;0,16;1,18;-0,46;1,19;82,3;0,05;-0,08;0,08;-0,06;0,68;0,01;0,68;95;-0,17;0,62;-0,16;0,64;105,3;-0,33;0,59;-0,31;0,68;119,2;-0,27;-0,09;-0,32;0,28;0,43;0,32;-79,2;198,4;34,6;243;0;0;34
199804300928;1;0,39;1;35912;0,37;1;5;573;568;464;32;11,2;5;2,6;-8,3;8,3;0,74;2,8;6;0,35;-3;84,28;-3;0,87;21;17,44;1,38;5,9;1,6;5,9;30;30;-1,1;28;-1,05;28;0,95;13;0,53;107,5;36,5;36,5;4;27;-33;12;0;-16;16;-50;43;1,3;18;-0,28;1,27;1,86;102,4;-0,2;-0,12;-0,35;0,23;211;0;-0,05;0,05;-0,69;0,42;0,36;0,81;148,7;-0,55;0,48;0,28;0,73;138,9;-0,16;0,48;0,05;0,51;108,4;0,53;0,06;-0,31;0,53;0,62;0,31;102;6,5;42,8;360;-5;1;61
199805012156;1;0,91;1;35914;0,67;1;5;772;777;651;8;20,5;4;6,67;-12,4;14,3;0,7;2,53;1;0,07;23;6,84;41;0,07;10;134,3;6,4;5,5;7,8;5,5;22;21;-1,1;4;-1,05;4;0,36;13;0,27;36,5;43,8;36,5;6,67;111;-100;19;0;-18;18;-20;53;2,98;4;-1,47;2,59;1,97;119,6;-1,47;2,59;-0,19;2,98;119,6;-0,56;-1,37;1,37;0,37;0,48;-0,58;0,61;52,4;0,43;0,85;-0,33;0,95;63,2;0,28;1,36;-0,48;1,39;78,4;-0,09;0,88;0,1;0,88;0,89;0,1;-17,5;95,8;32,9;360;77;1;75
199805071749;1;0,74;1;35918;0,88;1;4;449;449;514;8;11,2;0;2,88;-4,1;10,2;0,91;2,71;5;0,3;-1;2,36;9;0,22;-1;3,9;2,59;1,5;0,7;1,5;1;1;-0,15;1;-0,15;1;0,26;2;0,13;44,8;16,1;16,1;4;27;-64;13;0;-13;13;34;37;1,33;0;1,27;0,4;1,27;17,5;0,39;0,04;-1,14;0,39;5,9;-0,12;0,14;0,14;1,34;-0,38;-1,12;1,39;344,2;1,27;0,4;-1,37;1,33;17,5;1,21;0,43;-1,36;1,28;19,6;-0,13;0,81;-0,24;0,82;0,85;0,24;-79,6;99,1;26,9;194;0;0;93
199805080952;1;0,41;1;35921;0,33;1;4;833;834;658;7;11,9;2;3,92;-4,8;6,9;0,58;3,2;0;0,61;30;2,59;6;0,46;45;12,13;2,65;0,7;1;0,7;4;9;-0,31;3;-0,28;15;0,37;6;0,06;16,1;69,1;16,1;4,33;32;-67;33;0;-11;11;65;22;1,56;33;0,25;1,54;1,68;80,8;0,27;0,96;-0,3;1;74,3;-0,21;0,01;0,01;-0,26;1,05;-1,1;1,08;103,9;-0,01;0,86;-0,93;0,86;90,7;0,2;1,02;-1,04;1,04;78,9;0,46;-0,03;0,06;0,46;0,46;0,06;82,6;356,3;17,5;190;0;4;83
199805162122;1;0,89;1;35929;0,01;2;4;601;629;610;-2;9,3;-2;2,84;-4,6;4,6;0,5;6,44;10;0,95;27;4,29;15;0,52;1;2,55;1,85;0,6;0,8;0,6;1;17;-0,36;4;-0,4;4;0,36;3;0,07;30,5;46,6;30,5;5;48;-44;44;0;-20;20;19;16;1,67;19;1,52;0,69;1,49;24,4;0,1;1,13;-0,44;1,13;84,9;-0,17;0;0;-0,3;0,58;-0,34;0,65;117,3;0,41;0,41;-0,32;0,58;45;0,7;0,85;-0,56;1,1;50,5;1;0,27;-0,22;1,04;1,06;0,22;35,4;15,1;58,6;246;0;0;104
199805291536;1;0,65;1;35942;0,56;2;4;829;826;716;10;17,3;1;6,19;-4,4;10,6;0,61;2,88;1;0,35;10;4,56;14;0,52;9;24,99;6,27;1,8;2,5;1,8;3;4;-0,68;3;-0,71;3;0,45;6;0,1;19,6;17,9;17,9;6,67;111;-58;10;0;18;18;58;80;1,35;5;1,02;-0,89;1,5;318,9;0,33;0,43;-1,31;0,54;52,5;-0,66;-1,03;1,03;-0,19;0,49;0,19;0,53;111,2;-0,26;0,55;-0,17;0,61;115,3;-0,23;0,81;-0,46;0,84;105,9;-0,04;0,32;-0,65;0,32;0,73;0,65;8,7;97,1;48,8;268;0;0;37
199805300928;2;0,39;1;35943;0,57;1;3;950;957;600;-2;8,8;6;2,64;-2,3;4,7;0,53;1,59;36;0,33;5;2,97;0;0,25;6;8,48;1,66;0,8;0,9;0,8;7;7;-0,22;5;-0,23;66;0,25;20;0,09;17,9;72,5;17,9;3,67;22;-37;6;0;18;18;87;17;1,22;13;0,79;0,93;0,99;49,7;0,27;0,36;0,02;0,45;53,1;-0,14;-0,18;0,18;0,25;0,1;-0,33;0,27;21,8;0,34;0;-0,46;0,34;0;0,23;0,12;-0,29;0,26;27,6;-0,02;0,02;0,04;0,03;0,05;0,04;-107,4;135;4,6;53;0;0;53
199806131925;3;0,81;1;35956;0,17;2;4;476;471;444;61;11,9;34;2,64;-11,1;11,1;0,93;6,86;45;0,34;20;2,83;3;0,31;20;37,52;2,51;2;2;2;28;57;-0,38;2;-0,34;2;0,46;33;0,17;44,4;99,6;44,4;4,33;32;-68;13;0;-19;19;26;11;2,65;33;0,06;2,65;1,67;88,7;0,95;0,72;0,44;1,19;37,2;-0,14;-0,52;0,52;1,2;0,92;0,04;1,51;37,5;1,41;1,23;0,02;1,87;41,1;1,33;0,96;0,1;1,64;35,8;0,13;0,04;0,06;0,14;0,15;0,06;18,7;17,1;2,6;144;77;0;117
199809242345;1;0,99;1;36061;0,28;1;4;1011;0;839;8;28,7;1;12,04;-18,4;18,4;0,64;2,71;-2;0,03;9;1,74;45;0,01;13;221,33;9,27;9,2;12,4;9,2;23;9;-1,62;4;-1,79;4;0,85;25;0,32;45,8;70,2;45,8;8,33;236;-233;9;0;18;18;-9;51;3,46;5;1,78;2,97;9,11;59,1;1,47;1,34;3,94;1,99;42,4;-2,68;-3,31;3,31;-0,46;1,23;0,38;1,31;110,5;0,29;1,41;1,91;1,44;78,4;0,74;3,36;2,99;3,44;77,6;1,2;2,13;2,61;2,44;3,58;2,61;17;60,6;37,7;0;77;0;166
