Vmean;Vmax;Bmax;VmBm;MagnM;Bdo_Bup;DV;Ndo_Nup;Thita
312;429;17.3;3.71;1.7;1.63;27;1.68;37
505;468;15.2;3.56;2.5;2.97;26;2.57;51
600;524;25.3;6.63;4.3;2.49;76;2.26;86
378;358;11;1.97;2.3;1.69;22;1.78;57
434;560;17.3;4.84;3.3;1.85;30;1.83;88
581;467;9.9;2.31;1.1;2.06;33;2.21;64
342;381;15.4;2.93;3.5;1.84;41;2.08;46
514;462;15.2;3.51;2;1.97;51;3.40;41
573;464;11.2;2.6;1.6;2.88;52;2.84;40
772;651;20.5;6.67;7.8;2.55;79;2.60;76
833;658;11.9;3.92;1;1.58;58;1.74;55
829;716;17.3;6.19;2.5;1.67;112;1.58;65
476;444;11.9;2.64;2;2.24;58;4.30;32
1011;839;28.7;12.04;12.4;2.82;209;2.52;74
569;537;15.7;4.22;2.6;1.77;56;1.78;53
718;639;35.4;11.31;6.1;1.85;163;1.67;52
532;428;21.3;4.56;5.1;1.34;22;1.25;84
596;499;14;3.49;1.3;1.74;49;2.13;46
489;446;14.7;3.28;1.4;1.74;31;1.75;78
601;492;13.3;3.27;2.4;1.61;35;1.47;74
867;673;28.3;9.52;8.2;2.40;204;2.13;59
597;463;11.7;2.71;1.8;1.85;45;1.91;67
515;462;24.6;5.68;2.5;1.57;56;1.87;30
715;492;10.5;2.58;3.2;2.17;63;2.19;78
446;658;23.4;7.7;1.8;1.49;63;2.63;29
508;356;15.3;2.72;1.6;1.89;35;1.75;87
739;591;23.8;7.03;4;1.98;85;2.03;50
611;673;10.1;3.4;2;1.93;98;2.15;39
621;502;11.6;2.91;3.3;1.86;56;2.16;69
489;640;18.7;5.98;3.8;1.80;40;1.97;85
591;602;19.1;5.75;2.3;1.50;40;1.56;70
627;505;10.7;2.7;2.9;1.59;74;2.80;34
899;589;20.6;6.07;5.8;3.33;161;3.43;88
566;455;16.9;3.84;2.7;2.27;94;2.52;89
513;684;34.1;11.66;7.6;1.30;23;1.61;45
769;532;14.8;3.94;4.2;2.10;113;1.55;41
985;774;24.9;9.64;9.8;2.81;210;2.62;88
594;487;19.1;4.65;3.2;1.88;73;2.05;68
913;667;24.6;8.2;10.3;1.80;75;2.41;49
482;399;9.5;1.9;0.8;1.82;31;1.95;64
548;481;22.7;5.46;3.4;2.22;108;2.24;47
486;469;14.3;3.35;5.2;1.69;47;3.13;58
808;671;33.6;11.27;6.1;1.98;111;1.97;62
